Risk ID,Asset,Current State ,Risk Statement (Cause → Event → Impact),Likelihood (1-5),Impact (1-5),Inherent Risk Score (L×I),Risk Level,Risk Level Justification ,Proposed Controls 
CUSTOM-001,Customer Database,Using basic username and password authentication,Weak access controls lead to unauthorized access impacting confidentiality of Customer Database,4,5,20,Very High ,"Weak authentication increases likelihood of unauthorized access via phishing or credential reuse, and a Customer Database breach would have severe confidentiality, compliance, and reputational impact.",Implement role-based access control (RBAC); enforce MFA for privileged and remote access; conduct quarterly access reviews
CUSTOM-002,Customer Database,No formal patch management program is in place; patching is performed on an ad-hoc basis,Unpatched vulnerabilities allow exploitation causing service disruption of Customer Database,5,5,25,Very High ,"No formal patching makes exploitation highly likely, and compromise of the Customer Database would cause severe service disruption and compliance impact",Establish formal patch management program with defined SLAs; perform monthly vulnerability scanning; deploy automated patch deployment tools; track remediation through ticketing system.
CUSTOM-003,Customer Database,They restrict use of USB drives and senitive data in encrypted ,"There is a risk that insider threats may result in unauthorized data exfiltration from the customer database, leading to exposure of customer data.",3,5,15,High ,"USB controls and encryption reduce common exfiltration paths, but insider other methods remain (like email, cloud uploads, screenshots, etc.), and data loss would cause severe confidentiality, compliance, and reputational impact.",Deploy Data Loss Prevention (DLP) controls; enforce least privilege principles; implement security awareness training.
CUSTOM-004,Customer Database,Back-up performed once 1 week and backup not tested ,Backup failure causes permanent data loss impacting availability of Customer Database,4,5,20,High ,"Weekly backups lower risk, but lack of testing creates uncertainty in recovery, and failure could cause permanent Customer Database data loss with severe operational impact",Implement automated daily backups; perform quarterly backup restoration testing; store backups offsite or in immutable storage; monitor backup job success/failure alerts.
EMAILS-005,Email System,Weak password policy and inactive accounts exist. ,"There is a risk that insufficient authentication controls could allow unauthorized access to email accounts, resulting in data exposure.",4,4,16,High ,"Weak password policies and inactive accounts increase compromise risk via common attacks, and email account access could enable data exposure, phishing, and lateral movement impacting operations",Enforce MFA; require strong password and lockout policies; disable legacy and inactive accounts; monitor authentication logs; perform periodic access reviews.
EMAILS-006,Email System,"Email security controls are misconfigured, with malware detection link protection enabled but spam filtering not implemented but they conduct yearly phishing awareness training.","There is a risk that malicious email attachments or links could introduce malware or ransomware, causing operational disruption.",3,4,12,High ,"Limited email filtering controls increase phishing exposure despite compensating safeguards, and successful attacks could still cause operational disruption and partial system impact",Implement secure email gateway filtering to block malicious attachments and URLs; Use anti-phishing and anti-malware scanning on inbound emails; conduct periodic phishing awareness training
EMAILS-007,Email System,"Outlook 365 is configured to encrypt emails; however, no additional email data protection mechanisms are in place (e.g., checks or warnings for attachments or sensitive content). Security awareness training on data handling and email risks is provided",There is a risk that employees could inadvertently send sensitive information to unintended recipients risk data confidently.,3,4,12,High ,"Email encryption and training reduce risk, but lack of DLP controls still allows user error, and mis-sent data could cause confidentiality, compliance, and reputational impact",Implement email DLP for sensitive data; enable external recipient warnings; restrict auto-forwarding; provide data handling training.
EMAILS-008,Email System,"Outlook 365 is configured to encrypt emails; however, no additional email data protection mechanisms are in place. Security awareness training on data handling and email risks is provided",There is a risk that authorized users could intentionally misuse email access to exfiltrate confidential information.,3,5,15,High ,"While encryption and training reduce casual misuse, lack of DLP and monitoring still enables insider exfiltration, which could cause severe confidentiality, compliance, and reputational damage.",Implement DLP to detect and block transmission of sensitive data; Restrict access to sensitive data based on role-based access control (RBAC)
WEBAPP-009,Web Application,Application does sanitize or validate user input before storing or displaying,"There is a risk that improper output encoding could allow attackers to inject malicious scripts into the web application, resulting in user data theft or session hijacking",2,5,10,Moderate,"Input validation and sanitization reduce injection risk, but gaps like missing output encoding still allow exploitation, which could lead to data theft, session hijacking, and confidentiality loss.",Apply consistent input validation controls across the web application and perform regular secure code reviews to identify and remediate vulnerabilities.
WEBAPP-010,Web Application,"Permission settings are not properly configured or consistently enforced across the application, resulting in weak access controls","There is a risk that improper authorization controls could allow users to access restricted data or functionality, resulting in data exposure or privilege escalation.",4,5,20,Very High ,"Misconfigured permissions increase the likelihood of unauthorized access or privilege escalation, and resulting exposure could cause severe confidentiality, integrity, and system compromise.",Implement role-based access control (RBAC); enforce least privilege and segregation of duties; conduct periodic access reviews. 
WEBAPP-011,Web Application,DDoS protection service exists,"There is a risk that external attackers could overwhelm the web application with traffic, causing service disruption and loss of revenue",2,5,10,Moderate,"Existing DDoS protection lowers the chance of disruption, but advanced attacks remain possible, and a successful breach could cause major downtime, revenue loss, and customer impact.",Deploy web application firewall (WAF); implement rate limiting and traffic filtering; configure auto-scaling where applicable
WEBAPP-012,Web Application,"API security controls are partially implemented, including basic authentication and HTTPS enforcement",There is a risk that poorly secured APIs supporting the web application could be exploited to extract sensitive data or manipulate transactions.,3,5,15,High ,"Baseline controls (HTTPS, basic auth) reduce risk, but API security gaps still allow exploitation, which could expose sensitive data or enable transaction manipulation affecting confidentiality and integrity","Implement comprehensive API security controls by enforcing consistent authorization checks across all endpoints, applying standardized input validation and limiting the number of requests users can make"
HRPORT-013,HR Portal,The HR portal uses basic username and password authentication with minimal security settings,"There is a risk that weak authentication controls could allow unauthorized users to access sensitive employee data, potentially leading to privacy violations and regulatory penalties",4,5,20,Very High ,"Basic authentication increases exposure to credential attacks, and compromise of employee data would cause severe privacy, compliance, and reputational impact.","Enforce multi-factor authentication (MFA) for all HR system users, implement role-based access control (RBAC) following the principle of least privilege by restricting access to sensitive employee records based on job function and business need"
HRPORT-014,HR Portal,They are not properly controlling who can access payroll and benefits data,"There is a risk that misconfigured roles or authorization controls could allow users to gain elevated access, resulting in unauthorized modification of payroll or benefits data",4,5,20,Very High ,"Weak access controls increase risk of unauthorized access and privilege escalation, and compromise could impact data integrity, finances, and compliance",Implement and enforce role-based access control (RBAC) aligned with the principle of least privilege to ensure access to payroll and benefits data is restricted to authorized users based on job role and business need.
HRPORT-015,HR Portal,"Email security controls are misconfigured, with malware detection link protection enabled but spam filtering not implemented but they conduct yearly phishing awareness training.","There is a risk that HR personnel could be targeted by phishing attacks, leading to credential compromise and unauthorized system access.",3,4,12,High ,"Lack of spam filtering increases phishing exposure despite compensating controls, and HR credential compromise could lead to severe confidentiality and compliance impact",Implement email security filtering and anti-phishing protection tools; enforce multi-factor authentication for HR system and email access; implement suspicious login detection and alerting; and conduct periodic phishing simulation testing
HRPORT-016,HR Portal,HR staff get yearly awareness training on insider threats ,"There is a risk that authorized HR users could intentionally misuse access to confidential employee information, resulting in data exfiltration or compliance violations",3,5,15,High ,"Awareness training reduces accidental misuse but not intentional insider abuse, and HR data exfiltration would cause severe privacy, regulatory, and reputational impact.",Implement DLP controls; monitor for anomalous user behavior; require signed confidentiality agreements; immediately disable access upon termination or role change.
CLOUDS-017,Cloud Servers,Using basic username and password authentication,"There is a risk that weak access controls could allow unauthorized access to cloud servers, resulting in loss of confidentiality",4,5,20,Very High ,"Basic authentication increases risk of credential compromise, and unauthorized cloud access could expose sensitive data with severe confidentiality, compliance, and operational impact.",Implement role-based access control (RBAC); enforce MFA for all users; conduct quarterly access reviews.
CLOUDS-018,Cloud Servers,Using basic username and password authentication,"There is a risk that weak authentication controls could allow attackers to gain unauthorized access to cloud servers, resulting in data exposure or system compromise",4,5,20,Very High ,"Basic authentication increases risk of credential compromise, and unauthorized cloud access could expose sensitive data with severe confidentiality, compliance, and operational impact.",Implement role-based access control (RBAC); enforce MFA for all users; conduct quarterly access reviews.
CLOUDS-019,Cloud Servers,Use secure baseline configurations for cloud instances,"There is a risk that attackers could exploit vulnerable software on cloud servers to deploy malicious code, resulting in service disruption and data loss.",3,5,15,High ,"Secure baseline configurations reduce exposure, but gaps in patching and monitoring leave residual risk, and exploitation could enable code execution, causing disruption and data loss.",Implement vulnerability management and timely patching; deploy endpoint detection and response (EDR) on cloud servers; conduct regular security scanning and penetration testing.
CLOUDS-020,Cloud Servers,DDoS protection service exists,"There is a risk that cloud servers could be overwhelmed by external traffic attacks, resulting in service unavailability",2,5,10,Moderate,"Existing DDoS protection lowers the chance of disruption, but advanced attacks remain possible, and a successful attack could cause major downtime, revenue loss, and customer impact.",Deploy web application firewall (WAF); implement rate limiting and traffic filtering; configure auto-scaling where applicable
PAYMENT-021,Payment Processing Service (Stripe),Regularly rotate API keys and Least privilege for API keys,"There is a risk that improperly stored or exposed Stripe API keys could allow unauthorized parties to process, modify, or retrieve payment data",2,5,10,Moderate,"API key rotation and least privilege reduce exposure risk, but storage weaknesses remain, and compromise could enable unauthorized transactions and severe financial and compliance impact",Secure storage of API keys; immediately revoke unused or compromised keys.
PAYMENT-022,Payment Processing Service (Stripe),Enforce HTTPS for webhook endpoints,There is a risk that failure to properly validate Stripe webhooks could allow spoofed events to trigger unauthorized actions in the payment system,3,5,15,High ,"HTTPS protects transport but missing webhook signature validation allows spoofing or replay attacks, which could lead to fraudulent transactions and financial integrity issues.",Enforce webhook signature verification; Implemet principle of least privilege for webhook actions to reduce impact if something slips through
PAYMENT-023,Payment Processing Service (Stripe),They have role-based access control (RBAC) properly configured. ,Improperly configured role-based access controls within the Stripe console could result in unauthorized modification of system configurations,2,5,10,Moderate,"RBAC reduces access risk, but lack of MFA and access reviews increases exposure to credential compromise and privilege creep, and unauthorized Stripe changes could impact financial integrity and operations.",Require MFA for all users; Regularly review who has access to the Stripe console or access reviews
PAYMENT-024,Payment Processing Service (Stripe),They validate all data sent to Stripe APIs and enforce TLS for all API calls,"Improper or insecure integration of Stripe APIs within the company’s application may lead to unauthorized access to payment information, transaction tampering, or financial fraud",2,5,10,Moderate,"Input validation and TLS reduce exploitation risk, but compromise could still enable unauthorized access or transaction tampering with severe financial and compliance impact.",Use secure API key management; Limit API requests to prevent abuse or brute-force attempts
CUSTOM-025,Customer Confidence (Reputation),The encrypt customer and cardholder data,There is a risk that a cybersecurity breach exposing customer or cardholder data could result in loss of customer trust and reputational damage,2,5,10,Moderate,"Encryption reduces risk of usable data exposure, but a breach could still cause severe reputational and compliance impact",Implement a Data Loss Prevention (DLP); Restrict access to customer data based on job role
CUSTOM-026,Customer Confidence (Reputation),DDoS protection service exists,There is a risk that prolonged system downtime affecting customer access to financial services could erode customer confidence and damage the company’s reputation,2,5,10,Moderate,"Existing DDoS protection lowers the chance of disruption, but advanced attacks remain possible, and a successful attack could cause major downtime, revenue loss, and customer impact.",Deploy web application firewall (WAF); implement rate limiting and traffic filtering; configure auto-scaling where applicable
CUSTOM-027,Customer Confidence (Reputation),they no formal data protection and privacy policies,Failure to comply with data protection laws may result in fines or public regulatory actions that harm the company’s brand and reputation,4,5,20,Very High ,"Lack of formal data protection policies increases non-compliance risk, and violations could result in severe legal, financial, and reputational impact.",Establish formal compliance program aligned to PCI DSS and applicable data protection laws; conduct periodic compliance risk assessments; maintain documented policies and procedures; perform internal audits; provide mandatory compliance training; track remediation of identified gaps.
